100;Роллы;Ролл Огурец;50;56,02;нори, рис, огурец ;нори*0,5, рис*90, огурец*25,;115;8;18,68
200;Роллы;Ролл Лосось;90;87,90;нори, рис, лосось ;нори*0,5, рис*90, лосось*25,;115;8;29,30
300;Роллы;Ролл Креветка;100;101,40;нори, рис, креветки ;нори*0,5, рис*90, креветки*25,;115;8;33,80
400;Роллы;Ролл Угорь;110;155,85;нори, рис, угорь,соус унаги,кунжут ;нори*0,5, рис*90, угорь*25,соус унаги*5,кунжут*5,;125;8;51,95
500;Роллы;Ролл Краб;80;93,15;нори, рис, краб снежный ;нори*0,5, рис*90, краб снежный*30,;120;8;31,05
600;Роллы;Ролл Сливочный;80;76,28;нори, рис, сыр сливочный ;нори*0,5, рис*90, сыр сливочный*25,;115;8;25,43
700;Роллы;Ролл Спайси курица;80;133,57;нори, рис, курица копчёная, спайси соус,лист салата, огурец ;нори*1, рис*130, курица копчёная*25, спайси соус*15,лист салата*15, огурец*10,;195;8;44,52
800;Роллы;Ролл Овощной;130;93,27;нори, рис, огурец, перец болгарский, помидор, лист салата, кунжут ;нори*1, рис*130, огурец*10, перец болгарский*10, помидор*10, лист салата*10, кунжут*5,;175;8;31,09
900;Роллы;Ролл Филадельфия!;200;166,81;нори, рис, сыр сливочный, огурец, лосось ;нори*0,5, рис*130, сыр сливочный*40, огурец*15, лосось*50,;235;8;55,60
950;Роллы;Ролл Apple;200;168,39;нори, рис, сыр сливочный, яблоко, лосось ;нори*0,5, рис*130, сыр сливочный*40, яблоко*15, лосось*50,;235;8;56,13
1000;Роллы;Ролл Филадельфия с угрём;230;246,39;нори, рис, сыр сливочный, огурец, угорь, лосось ;нори*0,5, рис*130, сыр сливочный*25, огурец*15, угорь*25, лосось*50,;245;8;82,13
1100;Роллы;Ролл Филадельфия с копчёным лососем;220;257,64;нори, рис, сыр сливочный, огурец, лосось копчёный, лосось ;нори*0,5, рис*130, сыр сливочный*25, огурец*15, лосось копчёный*25, лосось*50,;245;8;85,88
1200;Роллы;Ролл Сливочный угорь!;190;220,29;нори, рис, сыр сливочный, икра масаго, угорь ;нори*0,5, рис*130, сыр сливочный*40, икра масаго*25, угорь*20,;215;8;73,43
1400;Роллы;Ролл Калифорния классик;170;153,97;нори, рис, краб снежный, огурец, майонез, икра масаго ;нори*0,5, рис*130, краб снежный*30, огурец*25, майонез*10, икра масаго*25,;220;8;51,33
1500;Роллы;Ролл Калифорния с лососем;190;168,39;нори, рис, сыр сливочный, лосось, огурец, икра масаго ;нори*0,5, рис*130, сыр сливочный*25, лосось*25, огурец*15, икра масаго*25,;220;8;56,13
1700;Роллы;Ролл Калифорния с угрём;210;206,55;нори, рис, угорь, огурец, икра масаго, майонез ;нори*0,5, рис*130, угорь*25, огурец*20, икра масаго*25, майонез*10,;210;8;68,85
1800;Роллы;Ролл Калифорния с креветкой;200;161,55;нори, рис, креветки, огурец, икра масаго, майонез ;нори*0,5, рис*130, креветки*25, огурец*20, икра масаго*25, майонез*10,;210;8;53,85
1840;Роллы;Ролл Рандом;170;209,49;нори, рис, случайная начинка ;нори*0,5, рис*130, случайная начинка*85,;215;8;69,83
1860;Роллы;Ролл Шитаки сыр;140;166,29;нори, рис, грибы шитаки, сыр сливочный ;нори*1, рис*130, грибы шитаки*20, сыр сливочный*40,;190;8;55,43
1880;Роллы;Ролл Нежность;200;140,64;нори, рис, яблоко, сыр сливочный, икра масаго ;нори*1, рис*130, яблоко*20, сыр сливочный*30, икра масаго*25,;205;8;46,88
1900;Роллы;Ролл Океан;180;150,62;нори, рис, креветки, огурец, икра масаго, сыр сливочный ;нори*1, рис*130, креветки*25, огурец*10, икра масаго*10, сыр сливочный*25,;200;8;50,20
2000;Роллы;Ролл Цунами;160;208,14;нори, рис, лосось копчёный, огурец, стружка тунца, сыр сливочный ;нори*0,5, рис*130, лосось копчёный*25, огурец*15, стружка тунца*5, сыр сливочный*25,;200;8;69,38
2100;Роллы;Ролл Атлантика;220;240,99;нори, рис, лосось, угорь, огурец, икра масаго, сыр сливочный, кунжут, соус унаги ;нори*0,5, рис*130, лосось*25, угорь*25, огурец*15, икра масаго*10, сыр сливочный*25, кунжут*5, соус унаги*5,;240;8;80,33
2200;Роллы;Ролл Восток;190;219,01;нори, рис, лосось копчёный, огурец, спайси соус, икра масаго ;нори*0,5, рис*130, лосось копчёный*25, огурец*15, спайси соус*15, икра масаго*25,;210;8;73,00
2400;Роллы;Дабл-ролл ;230;214,65;нори, рис, икра масаго, майонез, угорь, лосось, огурец ;нори*0,5, рис*130, икра масаго*25, майонез*10, угорь*20, лосось*20, огурец*10,;215;8;71,55
2500;Роллы;Сяке-ролл;160;170,64;нори, рис, лосось(жар), огурец, сыр сливочный, икра масаго ;нори*0,5, рис*130, лосось(жар)*25, огурец*15, сыр сливочный*25, икра масаго*25,;220;8;56,88
2600;Жаренные роллы;Темпура с лососем;200;150,60;нори, рис, лосось, огурец, сыр сливочный, кляр-сухари, соус унаги, кунжут ;нори*1, рис*130, лосось*25, огурец*15, сыр сливочный*25, кляр-сухари*30, соус унаги*5, кунжут*5,;235;8;50,20
2700;Жаренные роллы;Темпура с крабом;190;155,85;нори, рис, краб снежный, огурец, сыр сливочный, соус унаги, кунжут, кляр-сухари ;нори*1, рис*130, краб снежный*30, огурец*15, сыр сливочный*25, соус унаги*5, кунжут*5, кляр-сухари*30,;240;8;51,95
2800;Жаренные роллы;Темпура с курицей;190;149,10;нори, рис, курица копчёная, огурец, сыр сливочный, соус унаги, кунжут, кляр-сухари ;нори*1, рис*130, курица копчёная*25, огурец*15, сыр сливочный*25, соус унаги*5, кунжут*5, кляр-сухари*30,;235;8;49,70
2900;Жаренные роллы;Темпура с кальмаром;180;133,35;нори, рис, кальмар, огурец, сыр сливочный, соус унаги, кунжут, кляр-сухари ;нори*1, рис*130, кальмар*30, огурец*15, сыр сливочный*25, соус унаги*5, кунжут*5, кляр-сухари*30,;240;8;44,45
3100;Жаренные роллы;Темпура с угрём;220;209,10;нори, рис, угорь, огурец, сыр сливочный, соус унаги, кунжут, кляр-сухари ;нори*1, рис*130, угорь*25, огурец*15, сыр сливочный*25, соус унаги*5, кунжут*5, кляр-сухари*30,;235;8;69,70
3200;Жаренные роллы;Темпура ОРИГАМИ;240;177,66;нори, рис, лосось, угорь, майонез, креветки, соус унаги, кунжут, кляр-сухари, спайси соус ;нори*1, рис*130, лосось*10, угорь*10, майонез*10, креветки*15, соус унаги*5, кунжут*5, кляр-сухари*30, спайси соус*15,;230;8;59,22
3400;Запечённые роллы;Ролл Запечённый с курицей;180;129,84;нори, рис, курица копчёная, сыр сливочный, огурец, спайси соус, соус унаги, кунжут ;нори*1, рис*130, курица копчёная*25, сыр сливочный*25, огурец*15, спайси соус*15, соус унаги*5, кунжут*5,;220;8;43,28
3500;Запечённые роллы;Ролл Запечённый с мидиями;190;129,84;нори, рис, мидии, сыр сливочный, огурец, спайси соус, соус унаги, кунжут ;нори*1, рис*130, мидии*25, сыр сливочный*25, огурец*15, спайси соус*15, соус унаги*5, кунжут*5,;220;8;43,28
3600;Запечённые роллы;Ролл Запечённый с крабом;190;136,59;нори, рис, краб снежный, сыр сливочный, огурец, спайси соус, соус унаги, кунжут ;нори*1, рис*130, краб снежный*30, сыр сливочный*25, огурец*15, спайси соус*15, соус унаги*5, кунжут*5,;225;8;45,53
3700;Запечённые роллы;Ролл Запечённая Филадельфия;220;131,34;нори, рис, лосось, сыр сливочный, огурец, спайси соус, соус унаги, кунжут ;нори*1, рис*130, лосось*25, сыр сливочный*25, огурец*15, спайси соус*15, соус унаги*5, кунжут*5,;220;8;43,78
3800;Запечённые роллы;Ролл Запечённый ОРИГАМИ;260;171,76;нори, рис, лосось, угорь, креветки, сыр сливочный, огурец, соус унаги, кунжут ;нори*1, рис*130, лосось*10, угорь*10, креветки*15, сыр сливочный*25, огурец*10, соус унаги*5, кунжут*5,;210;8;57,26
3900;Запечённые роллы;Ролл Лосось под спайсом;210;121,89;нори, рис, лосось, сыр сливочный, огурец, спайси соус ;нори*1, рис*130, лосось*25, сыр сливочный*25, огурец*15, спайси соус*15,;210;8;40,63
4100;Суши;Суши Лосось;70;50,25;рис, лосось ;рис*20, лосось*12,;32;1;16,75
4200;Суши;Суши Угорь;80;78,33;рис, угорь ;рис*20, угорь*12,;32;1;26,11
4300;Суши;Суши Спайси с начинкой на выбор;70;59,43;рис, спайси соус, начинка на выбор ;рис*20, спайси соус*15, начинка на выбор*12,;47;1;19,81
4600;Горячие блюда;Кольца кальмара;160;182,09;кальмар, кляр-сухари, лист салата, соус фирменный ;кальмар*100, кляр-сухари*50, лист салата*15, соус фирменный*50,;215;1;60,70
4610;Горячие блюда;Креветки в кляре;0;292,10;креветки, кляр-сухари, соус на выбор, лист салата ;креветки*100, кляр-сухари*50, соус на выбор*50, лист салата*5,;205;1;97,36
4620;Горячие блюда;Гренки чесночные с сыром;0;105,44;хлеб чёрный, сыр, соус чесночный, масло подсолнечное, лист салата ;хлеб чёрный*150, сыр*20, соус чесночный*50, масло подсолнечное*10, лист салата*5,;235;1;35,15
4630;Горячие блюда;Пельмешки во фритюре;0;158,18;пельмени, перец каенский, лист салата, соль, соус фирменный, лист салата ;пельмени*200, перец каенский*5, лист салата*5, соль*5, соус фирменный*50, лист салата*5,;265;1;52,73
4640;Горячие блюда;Пельмешки отварные;0;158,18;пельмени, перец каенский, лист салата, соль, соус фирменный, лист салата ;пельмени*200, перец каенский*5, лист салата*5, соль*5, соус фирменный*50, лист салата*5,;265;1;52,73
4800;Горячие блюда;Луковые кольца;130;115,09;луковые кольца, кляр-сухари, лист салата, соус фирменный ;луковые кольца*100, кляр-сухари*50, лист салата*5, соус фирменный*50,;205;1;38,37
4850;Горячие блюда;Картофель ФРИ;80;106,45;картофель фри, соус фирменный, лист салата ;картофель фри*170, соус фирменный*50, лист салата*5,;225;1;35,48
4880;Горячие блюда;Картофель по деревенски;80;123,50;картофель дольками, соус фирменный, зелень, лист салата ;картофель дольками*170, соус фирменный*50, зелень*10, лист салата*5,;235;1;41,16
4890;Горячие блюда;Картофельные шарики;110;201,68;картофельные шарики, перец каенский, соль, соус фирменный, лист салата ;картофельные шарики*150, перец каенский*10, соль*5, соус фирменный*50, лист салата*5,;220;1;67,22
4900;Горячие блюда;Венгерские колбаски;200;195,94;колбаски венгерские, картофель фри, картофель дольками, лист салата, соус фирменный ;колбаски венгерские*150, картофель фри*25, картофель дольками*25, лист салата*5, соус фирменный*50,;255;1;65,31
5000;Горячие блюда;Стэйк из лосося;270;279,07;лосось, лист салата, соус фирменный, лимон, соль, перец каенский ;лосось*150, лист салата*5, соус фирменный*50, лимон*30, соль*5, перец каенский*5,;245;1;93,03
5100;Горячие блюда;Куриные нагетсы;180;241,49;куриное филе, картофель фри, картофель дольками, лист салата, кляр-сухари, соус фирменный ;куриное филе*150, картофель фри*50, картофель дольками*50, лист салата*15, кляр-сухари*50, соус фирменный*50,;365;1;80,50
5120;Супы;Суп куриный с сухариками;80;66,60;куриное филе, картофель, суповой набор, вода, сухарики;куриное филе*30, картофель*30, суповой набор*100, вода*100, сухарики;260;1;22,20
5130;Супы;Суп Король креветок;150;305,49;креветки, имбирь, лимон, лапша удон, картофель, суповой набор, соус соевый, вода ;креветки*100, имбирь*30, лимон*30, лапша удон*50, картофель*100, суповой набор*100, соус соевый*50, вода*100;560;1;101,83
5135;Супы;Солянка;130;0,00;солянка по фирменному рецепту;солянка по фирменному рецепту,;0;1;0,00
5140;Воки;Лапша с курицей;0;160,56;лапша удон, куриное филе, морковь, шампиньоны, перец болгарский, цукини, соус терияки, соус соевый, кунжут, зелень ;лапша удон*80, куриное филе*100, морковь*30, шампиньоны*30, перец болгарский*20, цукини*30, соус терияки*30, соус соевый*30, кунжут*5, зелень*5,;360;1;53,52
5150;Воки;Лапша со свининой;0;190,56;лапша удон, свинина, морковь, шампиньоны, перец болгарский, цукини, соус терияки, соус соевый, кунжут, зелень ;лапша удон*80, свинина*100, морковь*30, шампиньоны*30, перец болгарский*20, цукини*30, соус терияки*30, соус соевый*30, кунжут*5, зелень*5,;360;1;63,52
5160;Воки;Лапша с креветкой;0;297,15;лапша удон, креветки, морковь, шампиньоны, перец болгарский, цукини, соус устричный, соус соевый ;лапша удон*80, креветки*100, морковь*30, шампиньоны*30, перец болгарский*20, цукини*30, соус устричный*30, соус соевый*30,;350;1;99,05
5300;Салаты;Салат Цезарь с курицей;180;237,72;куриное филе, лист салата, помидор, сыр, хлеб харис, соус чесночный ;куриное филе*100, лист салата*30, помидор*50, сыр*40, хлеб харис*40, соус чесночный*50,;310;1;79,24
5350;Салаты;Салат Горячий моряк;0;279,31;морской коктель, огурец, помидор, грибы шитаки, лист салата, соус соевый, имбирь ;морской коктель*100, огурец*40, помидор*50, грибы шитаки*40, лист салата*20, соус соевый*30, имбирь*15,;295;1;93,11
5400;Салаты;Салат Цезарь с креветкой;170;333,72;креветки, лист салата, помидор, сыр, хлеб харис, соус чесночный ;креветки*80, лист салата*30, помидор*50, сыр*40, хлеб харис*40, соус чесночный*50,;290;1;111,24
5450;Сэндвичи;Сэндвич мини;0;178,37;огурец, сыр сэндвичный, ветчина, помидор, лист салата, соус фирменный, хлеб харис, картофель фри, картофель дольками ;огурец*50, сыр сэндвичный*19, ветчина*40, помидор*40, лист салата*5, соус фирменный*50, хлеб харис*88, картофель фри*25, картофель дольками*25,;342;1;59,45
5500;Сэндвичи;Сэндвич сыр/ветчина  ;150;221,00;сыр сэндвичный, ветчина, помидор, лист салата, соус фирменный, хлеб харис, картофель фри, картофель дольками ;сыр сэндвичный*37, ветчина*40, помидор*40, лист салата*5, соус фирменный*50, хлеб харис*132, картофель фри*50, картофель дольками*50,;404;1;73,67
5600;Сэндвичи;Сэндвич Оригами;160;285,80;карбонат, огурец, сыр сэндвичный, ветчина, помидор, лист салата, соус фирменный, хлеб харис, картофель фри, картофель дольками ;карбонат*45, огурец*30, сыр сэндвичный*37, ветчина*45, помидор*25, лист салата*20, соус фирменный*20, хлеб харис*132, картофель фри*50, картофель дольками*50,;454;1;95,27
5650;Сэндвичи;Сэндвич с омлетом;160;251,00;сыр сэндвичный, ветчина, помидор, лист салата, соус фирменный, хлеб харис, картофель фри, картофель дольками, яйца куриные ;сыр сэндвичный*37, ветчина*40, помидор*40, лист салата*5, соус фирменный*50, хлеб харис*132, картофель фри*50, картофель дольками*50, яйца куриные*100,;504;1;83,67
5800;Бар;Пиво Бавария Светлое;60;0,00;город Владикавказ, 45% алк,;город Владикавказ, 4,5% алк,,;0;1;0,00
5900;Бар;Пиво Варница Белое Нефильтрованное;95;0,00;город Минск Беларус, 47% алк,;город Минск, Беларус, 4,7% алк,,;0;1;0,00
5950;Бар;Пиво Варница Бархатное(Тёмное);80;0,00;город Минск Беларус, 45% алк,;город Минск, Беларус, 4,5% алк,,;0;1;0,00
5960;Бар;Пиво Английский Эль;95;0,00;город Минск Беларус, 47% алк,;город Минск, Беларус, 4,7% алк,,;0;1;0,00
5970;Бар;Пиво Жигулёвское;70;0,00;город Минск Беларус, 40% алк,;город Минск, Беларус, 4,0% алк,,;0;1;0,00
5960;Бар;Пиво ОРИГАМИ;60;0,00;пиво недели уточните у бармена;пиво недели, уточните у бармена,;0;1;0,00
6000;Бар;Сок яблочный;60;45,00;сок яблочный, (Добрый);сок яблочный*250, (Добрый),;250;1;15,00
6010;Бар;Сок апельсиновый;60;45,00;сок апельсиновый, (Добрый);сок апельсиновый*250, (Добрый),;250;1;15,00
6020;Бар;Сок мультифрукт;60;45,00;сок мультифрукт, (Добрый);сок мультифрукт*250, (Добрый),;250;1;15,00
6100;Бар;Coca-Cola;80;120,00;coca-cola, (в стекле);coca-cola*250, (в стекле),;250;1;40,00
6110;Бар;Минеральная вода с газом;30;12,00;минеральная вода, лёд по желанию;минеральная вода*250, лёд по желанию,;250;1;4,00
6120;Бар;Минеральная вода без газа;15;2,25;минеральная вода без газа, лёд по желанию;минеральная вода без газа*250, лёд по желанию,;250;1;0,75
6130;Бар;Коктель Рыжый Ап;0;117,00;сок апельсиновый, сироп мохито, сироп клубника ;сок апельсиновый*250, сироп мохито*20, сироп клубника*20,;290;1;39,00
6140;Бар;Коктель СССР;0;39,75;газировка сифоном, сироп на выбор, (банан/карамель/клубника/мохито/мятный/ореховый/шоколад/ваниль);газировка сифоном*250, сироп на выбор*20, (банан/карамель/клубника/мохито/мятный/ореховый/шоколад/ваниль),;270;1;13,25
6150;Бар;Коктель Тропиканка;0;77,40;молоко, сироп банан, сок апельсиновый ;молоко*180, сироп банан*20, сок апельсиновый*80,;280;1;25,80
6160;Бар;Коктель Мятный молочник;0;70,50;молоко, сироп мятный ;молоко*230, сироп мятный*20,;250;1;23,50
6170;Бар;Коктель Мулатка-шоколадка;0;46,50;газировка сифоном, сироп шоколад, молоко, ;газировка сифоном*200, сироп шоколад*20, молоко*50, ;270;1;15,50
6180;Бар;Коктель Свежесть;0;73,50;сок апельсиновый, сок яблочный, газировка сифоном, сироп банан ;сок апельсиновый*100, сок яблочный*100, газировка сифоном*100, сироп банан*20,;320;1;24,50
6190;Бар;Коктель Госпожа;0;0,00;бармен сделает Вам любой коктель по вашему рецепту из имеющихся ингридиентов;бармен сделает Вам любой коктель по вашему рецепту из имеющихся ингридиентов;0;1;0,00
6200;Бар;Кофе Paulig;60;25,53;кофе Paulig, вода, (натуральный свежемолотый кофе средней обжарки);кофе Paulig*10, вода*170, (натуральный свежемолотый кофе средней обжарки);180;1;8,51
6300;Бар;Кофе Paulig с молоком;70;28,53;кофе Paulig, молоко, вода ;кофе Paulig*10, молоко*20, вода*170;200;1;9,51
6400;Бар;Кофе Paulig с сиропом;80;60,00;кофе Paulig, сироп на выбор, (банан/карамель/клубника/мохито/мятный/ореховый/шоколад/ваниль);кофе Paulig*10, сироп на выбор*20, (банан/карамель/клубника/мохито/мятный/ореховый/шоколад/ваниль);30;1;20,00
6450;Бар;Кофе Paulig с молоком и сиропом;90;63,00;кофе Paulig, сироп на выбор, молоко ;кофе Paulig*10, сироп на выбор*20, молоко*20,;50;1;21,00
6500;Бар;Чай в ассортименте;40;0,00;пакетированный чай на выбор;пакетированный чай на выбор,;0;1;0,00
6700;Бар;Дополнительный соус/топинг;30;45,00;соус на выбор, (имбирь васаби соус сырный соус барбекю соус фирменный соус чесночный соевый соус);соус на выбор*50, (имбирь, васаби, соус сырный, соус барбекю, соус фирменный, соус чесночный, соевый соус);50;1;15,00
6800;Прочее;Набор к роллам;35;31,25;палочки, васаби, имбирь, соус соевый ;палочки*1, васаби*15, имбирь*15, соус соевый*50,;80;1;10,41
